iter	MultiClass
123	0.7008549209
124	0.7005649354
125	0.7002630339
126	0.7001584191
127	0.6999780815
128	0.6997614752
129	0.699618611
130	0.6994177189
131	0.6990099312
132	0.6987709867
133	0.6986827425
134	0.6985823765
135	0.6982730849
136	0.6980482449
137	0.6979419432
138	0.6975694537
139	0.6975168236
140	0.6972528203
141	0.6969784019
142	0.696903419
143	0.6966143378
144	0.6965052695
145	0.696436849
146	0.6961657263
147	0.695967685
148	0.6959282599
149	0.6957757597
150	0.6957250423
151	0.695607014
152	0.6955216904
153	0.6951775666
154	0.6948969919
155	0.6947003007
156	0.6945439441
157	0.6944203516
158	0.6942655083
159	0.6940503429
160	0.6937509567
161	0.6934618457
162	0.6930870053
163	0.693020052
164	0.6926662066
165	0.6925110002
166	0.6922438464
167	0.6920825465
168	0.6918013814
169	0.6916255046
170	0.6914190926
171	0.6912584553
172	0.6912087493
173	0.6909020693
174	0.6906933217
175	0.690547987
176	0.6902953839
177	0.6900261186
178	0.6897131741
179	0.6895477424
180	0.6894076551
181	0.6891219693
182	0.688942161
183	0.6888806998
184	0.6888225603
185	0.6887179116
186	0.6886436767
187	0.6885380872
188	0.6884161
189	0.6880046995
190	0.6878815374
191	0.6875365657
192	0.687418082
193	0.6872744684
194	0.6872180961
195	0.6869358289
196	0.6866836122
197	0.6866313663
198	0.6864103762
199	0.6861166906
200	0.6859237512
201	0.685476846
202	0.6853904585
203	0.6850786392
204	0.6850074359
205	0.6847307508
206	0.6845821764
207	0.684345775
208	0.6842467801
209	0.6840823528
210	0.6838963463
211	0.6837413359
212	0.683659743
213	0.6835820034
214	0.6835082438
215	0.6834195673
216	0.6832422074
217	0.6830631856
218	0.6829050487
219	0.6826362045
220	0.6824974775
221	0.682282043
222	0.6821435089
223	0.6819500006
224	0.6817467377
225	0.6815406299
226	0.6811730845
227	0.6810556344
228	0.6809222222
229	0.6807994267
230	0.6807343374
231	0.6804686783
232	0.6803192949
233	0.6801655322
234	0.6801174497
235	0.6798971488
236	0.6797516312
237	0.6794500694
238	0.6794070955
239	0.6793155046
240	0.6792011258
241	0.6789886296
242	0.678839006
243	0.6787295846
244	0.6785428183
245	0.6783604734
246	0.6782913263
247	0.6781846073
248	0.6780223226
249	0.6779858674
250	0.677829421
251	0.677722297
252	0.6776473141
253	0.6771699343
254	0.6769779141
255	0.676671259
256	0.6765525274
257	0.6763695054
258	0.6761056536
259	0.6758202274
260	0.675500697
261	0.6753787907
262	0.6752710043
263	0.6752009544
264	0.6748389445
265	0.674588619
266	0.6744828659
267	0.674405608
268	0.6742294743
269	0.6740087146
270	0.6739447673
271	0.6735534771
272	0.673416123
273	0.6733102181
274	0.6732277368
275	0.67294202
276	0.6726084265
277	0.6723425634
278	0.6722731699
279	0.6721333536
280	0.6720345356
281	0.6718700174
282	0.6717525442
283	0.6714929267
284	0.6713983804
285	0.6712869655
286	0.6711656836
287	0.6709737723
288	0.6709058238
289	0.6706419659
290	0.670388826
291	0.6702077666
292	0.6699596627
293	0.6696330541
294	0.6692726734
295	0.6690583667
296	0.6688440678
297	0.6686648888
298	0.6684931884
299	0.6683594984
300	0.6679919582
301	0.6677536585
302	0.6674849777
303	0.6672694906
304	0.6670437886
305	0.6668606075
306	0.6666746794
307	0.6664936778
308	0.6663591488
309	0.6660382462
310	0.6657988184
311	0.6656922113
312	0.6655326277
313	0.66533298
314	0.6652469696
315	0.6650340953
316	0.6648281171
317	0.6646086149
318	0.6643935468
319	0.6641479186
320	0.6640016596
321	0.6638660965
322	0.6638244668
323	0.6635704095
324	0.6634644552
325	0.663299414
326	0.6632103366
327	0.663143876
328	0.6631304607
329	0.663041495
330	0.6628731933
331	0.6627209138
332	0.6625201308
333	0.6621852461
334	0.6620335409
335	0.6616888239
336	0.6616021798
337	0.6614842827
338	0.6613713899
339	0.6612627052
340	0.6610356996
341	0.6609934195
342	0.660830527
343	0.6607175325
344	0.6605599042
345	0.6604613453
346	0.6603349093
347	0.6600823416
348	0.6599703569
349	0.6598142178
350	0.6594578611
351	0.6593704034
352	0.6592744138
353	0.6590991956
354	0.6588586476
355	0.6586290396
356	0.6585781406
357	0.6580767531
358	0.6579646063
359	0.657878586
360	0.6577744519
361	0.6576208742
362	0.6573880699
363	0.6573454465
364	0.6571011682
365	0.6569475319
366	0.656864189
367	0.6567822914
368	0.6567546497
369	0.6565694346
370	0.6562538609
371	0.6561138551
